ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight,Cap
US00724F1012,,119661.1688,,0.470588235,,,,,,,,,,,3.0,1
US01609W1027,,394089.7335,,0.705882353,,,,,,,,,,,3.0,1
US02079K3059,,324207.1421,,0.8235294120000001,,,,,,,,,,,3.0,1
US0231351067,,801918.9394,,0.8235294120000001,,,,,,,,,,,3.0,1
US04685W1036,,5524.0287,,0.352941176,,,,,,,,,,,0.3,1
GB00BDD85M81,,3561.789992,,0.235294118,,,,,,,,,,,0.3,1
US0567521085,,45401.7897,,0.705882353,,,,,,,,,,,2.3613660821542517,0
US09227Q1004,,3312.89149,,0.235294118,,,,,,,,,,,0.3,1
US21925Y1038,,3180.28712,,0.352941176,,,,,,,,,,,0.3,1
US23355L1061,,17372.670280000002,,0.352941176,,,,,,,,,,,0.9035598514223593,0
US2786421030,,31397.78847,,0.470588235,,,,,,,,,,,1.633012117751645,0
US29404K1060,,2417.3221399999998,,0.352941176,,,,,,,,,,,0.3,1
GB00B19NLV48,,23179.24583,,0.352941176,,,,,,,,,,,1.2055622757284692,0
US30303M1027,,346675.8438,,0.705882353,,,,,,,,,,,3.0,1
US3032501047,,6234.0115,,0.352941176,,,,,,,,,,,0.3242335469401011,0
US31816Q1013,,3319.70275,,0.352941176,,,,,,,,,,,0.3,1
US32008D1063,,13467.931359999999,,0.352941176,,,,,,,,,,,0.7004727461280139,0
US34959E1091,,12178.0476,,0.235294118,,,,,,,,,,,0.6333853519765541,0
BMG3922B1072,,5499.27477,,0.470588235,,,,,,,,,,,0.3,1
US4435731009,,5965.2256,,0.470588235,,,,,,,,,,,0.3102538797988892,0
US48203R1041,,9660.86046,,0.235294118,,,,,,,,,,,0.5024653954262319,0
US5398301094,,80637.61526,,0.176470588,,,,,,,,,,,3.0,1
US54142L1098,,4547.27856,,0.235294118,,,,,,,,,,,0.3,1
US64110L1061,,140415.0092,,0.235294118,,,,,,,,,,,3.0,1
GB00BWFY5505,,9048.51667,,0.588235294,,,,,,,,,,,0.4706171386531341,0
US6668071029,,46917.3326,,0.176470588,,,,,,,,,,,2.440190102611527,0
US67020Y1001,,4377.54367,,0.352941176,,,,,,,,,,,0.3,1
CA6837151068,,9394.807653,,0.352941176,,,,,,,,,,,0.48862787759570164,0
US7055731035,,4258.51111,,0.470588235,,,,,,,,,,,0.3,1
US7153471005,,3199.32784,,0.235294118,,,,,,,,,,,0.3,1
US69370C1009,,10044.652,,0.352941176,,,,,,,,,,,0.5224265540316986,0
US7551115071,,47012.1204,,0.352941176,,,,,,,,,,,2.4451200557565684,0
US79466L3024,,114558.75,,0.705882353,,,,,,,,,,,3.0,1
US81762P1021,,32984.028,,0.470588235,,,,,,,,,,,1.715513099520527,0
CA82509L1076,,14940.5796,,0.352941176,,,,,,,,,,,0.7770657973680217,0
DE0007236101,,95415.7555,,0.705882353,,,,,,,,,,,3.0,1
US83304A1060,,5868.9421,,0.470588235,,,,,,,,,,,0.3052461346709235,0
DE000A2GS401,,2788.01438,,0.176470588,,,,,,,,,,,0.3,1
US8486371045,,17651.20152,,0.470588235,,,,,,,,,,,0.9180463777752261,0
