ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,Normalized AFFO Growth,ROE,Debt/Equity,AISC(WC),Weight,Cap,Excess Weight,Total Weight
US88339J1051,,,,,,,,,,,,0,0,Information Technology,,,,,,,1.7857142857142858,1,1.9230769230769234,26.923076923076923
KYG687071012,,,,,,,,,,,,0,0,Information Technology,,,,,,,1.7857142857142858,1,1.9230769230769234,26.923076923076923
US79466L3024,,,,,,,,,,,,0,0,Information Technology,,,,,,,1.7857142857142858,1,1.9230769230769234,26.923076923076923
US70438V1061,,,,,,,,,,,,0,0,Information Technology,,,,,,,1.7857142857142858,1,1.9230769230769234,26.923076923076923
US00724F1012,,,,,,,,,,,,0,0,Information Technology,,,,,,,1.7857142857142858,1,1.9230769230769234,26.923076923076923
US70432V1026,,,,,,,,,,,,0,0,Information Technology,,,,,,,1.7857142857142858,1,1.9230769230769234,26.923076923076923
US6098391054,,,,,,,,,,,,0,0,Information Technology,,,,,,,1.7857142857142858,1,1.9230769230769234,26.923076923076923
US0382221051,,,,,,,,,,,,0,0,Information Technology,,,,,,,1.7857142857142858,1,1.9230769230769234,26.923076923076923
US5128071082,,,,,,,,,,,,0,0,Information Technology,,,,,,,1.7857142857142858,1,1.9230769230769234,26.923076923076923
US5950171042,,,,,,,,,,,,0,0,Information Technology,,,,,,,1.7857142857142858,1,1.9230769230769234,26.923076923076923
US57636Q1040,,,,,,,,,,,,0,0,Information Technology,,,,,,,1.7857142857142858,1,1.9230769230769234,26.923076923076923
IE00B58JVZ52,,,,,,,,,,,,0,0,Information Technology,,,,,,,1.7857142857142858,1,1.9230769230769234,26.923076923076923
jfhdui,,,,,,,,,,,,0,0,Information Technology,,,,,,,1.7857142857142858,1,1.9230769230769234,26.923076923076923
jfyh,,,,,,,,,,,,0,0,Information Technology,,,,,,,1.7857142857142858,1,1.9230769230769234,26.923076923076923
US9224751084,,,,,,,,,,,,0,0,Health Care,,,,,,,1.973684210526316,0,0.0,0.0
US0231351067,,,,,,,,,,,,0,0,Consumer Discretionary,,,,,,,1.973684210526316,0,0.0,0.0
US0162551016,,,,,,,,,,,,0,0,Health Care,,,,,,,1.973684210526316,0,0.0,0.0
US9831341071,,,,,,,,,,,,0,0,Consumer Discretionary,,,,,,,1.973684210526316,0,0.0,0.0
US52603B1070,,,,,,,,,,,,0,0,Financials,,,,,,,1.973684210526316,0,0.0,0.0
US0036541003,,,,,,,,,,,,0,0,Health Care,,,,,,,1.973684210526316,0,0.0,0.0
US30161Q1040,,,,,,,,,,,,0,0,Health Care,,,,,,,1.973684210526316,0,0.0,0.0
US78486Q1013,,,,,,,,,,,,0,0,Financials,,,,,,,1.973684210526316,0,0.0,0.0
US6882392011,,,,,,,,,,,,0,0,Industrials,,,,,,,1.973684210526316,0,0.0,0.0
US48251W1045,,,,,,,,,,,,1,0,Financials,,,,,,,1.973684210526316,0,0.0,0.0
US03076C1062,,,,,,,,,,,,0,0,Financials,,,,,,,1.973684210526316,0,0.0,0.0
NL0010545661,,,,,,,,,,,,0,0,Industrials,,,,,,,1.973684210526316,0,0.0,0.0
US8740541094,,,,,,,,,,,,0,0,Communication Services,,,,,,,1.973684210526316,0,0.0,0.0
LR0008862868,,,,,,,,,,,,0,0,Consumer Discretionary,,,,,,,1.973684210526316,0,0.0,0.0
US45168D1046,,,,,,,,,,,,0,0,Health Care,,,,,,,1.973684210526316,0,0.0,0.0
US98156Q1085,,,,,,,,,,,,0,0,Communication Services,,,,,,,1.973684210526316,0,0.0,0.0
US55354G1004,,,,,,,,,,,,0,0,Financials,,,,,,,1.973684210526316,0,0.0,0.0
US5500211090,,,,,,,,,,,,0,0,Consumer Discretionary,,,,,,,1.973684210526316,0,0.0,0.0
US72703H1014,,,,,,,,,,,,0,0,Consumer Discretionary,,,,,,,1.973684210526316,0,0.0,0.0
US92532F1003,,,,,,,,,,,,0,0,Health Care,,,,,,,1.973684210526316,0,0.0,0.0
